"Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0."
561,54,2591,19705,SHIVAM SR.SEC.SCHOOL,BAGAINDA,KULLU,175105,9th-+2(Arts),,2025-26,"98161-57244,",mohinderpalsagar@gmail.com
562,55,2648,19709,SHASHANK MODEL SCHOOL,GOJRA MANALI,KULLU,175143,9th-10th,,2025-26,"94185-74651,01902-200777",gojraschool@gmail.com
563,56,2699,19713,"SATYA MOHAN
SR.SEC.SCHOOL",BASHING,KULLU,175138,9th-+2(Sci/Comm),,2025-26,"93186-33000, 98161-
00044,93197-99099",satyamohanschool@gmail.com
564,57,2583,19714,"HIMALYAN MODEL
SR.SEC.SCHOOL",ANNI,KULLU,172026,9th-+2(Arts/Sci),,2025-26,"01904-253391,98058-62830",hmsssanni@gmail.com
565,58,2609,19715,"SARSWATI VIDYA MANDIR
SR.SEC.SCHOOL",BASHING,KULLU,175138,9th-+2(Sci/Comm),,2025-26,"01902-204321, 94180-03951,
94590-16317",svmbkullu@gmail.com
566,59,2637,19716,"KULLU SCIENCE SCHOOL OF
EDUCAITON",BASHING,KULLU,175101,9th-12th (Sci./Com),,2025-26,"98167-50502, 01902-223284,
98166-42112",sukritvastu@hotmail.com
567,60,2694,19717,"ANILA MAHAJAN SARSWATI
VIDYA MANDIR SR.SEC. SCHOOL",MANALI,KULLU,175131,9th-+2(Sc.),,2025-26,"01902-205057, 94180-
07551,76510-19181, 70189-
22553",anilasvmmanali@rocketmail.com
568,61,2723,19719,BRILLIANT PUBLIC SCHOOL,PATLI KULH,KULLU,175129,11th-12th(Com/Sci.),,2025-26,"94595-68374,98169-04632,
98167-58920",bpspatikulh12@rediffmail.com
569,62,2660,19720,SARSWATI PUBLIC SCHOOL,JAREE,KULLU,175105,9th-+2(Arts/Sci/Comm),,2025-26,"98164-20134, 98165-97372",sarswatisps@gmail.com
570,63,2601,19721,S.E.T.MODELSR.SEC.SCHOOL,BANJAR,KULLU,175123,9th-10th,,2025-26,"01903-222770, 94183-88020,
98057-79148",setschool92@gmail.com
571,64,2707,19722,"VENUS PUBLIC SR.SEC.
SCHOOL","NEETHAR(GHAROLL
)",KULLU,172033,9th-+2(Arts/Sci/Comm),,2025-26,"94181-72167, 86798-
42999,94180-51560",hnvpsneethar@rediffmail.com
572,65,2598,19723,"SARSWATI VIDYA MANDIR
SR.SEC SCHOOL",BANJAR,KULLU,175123,9th-+2(Arts/Sci/Comm),,2025-26,"98821-00181, 94599-95455",svmbanjar@gmail.com
573,66,4707,19725,"SAI STAR SCHOOL RITU RAJ
COMPLEX",DHALPUR,KULLU,175101,9th-+2(Arts/Sci/Comm),,2025-26,"86288-44061,01902-223047",saistarschool@gmail.com
574,67,4630,19726,"AMBITION CLASSES SEN SEC
SCHOOL",MOHAL,KULLU,175126,11th-+12th(Sc.) (c ),,2025-26,"98164-22295, 98164-89399",svpawan@yahoo.com
575,68,2736,19728,D.A.V.PUBLIC SCHOOL,RANGRI(MANALI),KULLU,175131,11th-12th(Sci.),(NOC to CBSE),2025-26,"01902-250054,252112",davmanali@gmail.com
576,69,2754,19729,EVERGREEN PUBLIC SCHOOL,SEOBAGH,KULLU,175138,9th-12th(Arts/Sci) (C ),,2025-26,98176-90731,evergreenpschool@gmail.com
577,70,4944,19730,LA MONTESSORI SCHOOL,DHALPUR,KULLU,175101,9th-10th,,2025-26,"01902-222626,98162-22626",lms-lk@yahoo.co.in
578,71,4752,19731,"LAUREL PUBLIC SEN. SEC.
SCHOOL",GANDHINAGAR,KULLU,175101,9th-+2(Sci),,2025-26,"8988290002, 8988290003,
9418916459",pathfinders676@gmail.com
579,72,2683,19733,SARSWATI VIDYA MANDIR,KUNGASH,KULLU,172026,9th-10th,,2025-26,8219533359,s.v.m.kungash2012@gmail.com
580,73,5170,19734,EDUROOT SR. SEC. SCHOOL,CHATTI,KULLU,172001,9th-12th (Sci/Comm),,2025-26,78078-77200,eduroot2018@gmail.com
581,74,5171,19735,K.D STAR SR. SEC. SCHOOL,BASHING,KULLU,175138,9th-12th(Sci),,2025-26,"94598-29323, 94184-44061",kdstarkullu@gmail.com
582,75,2741,19736,"DR.RADHA KRISHANAN
PUBLIC SCHOOL",SAINJ,KULLU,175134,9th-+2(Arts) (C ),,2025-26,9817263072,drrkpublicschoolsainj60@gmail.com
583,76,5172,19738,AAGMIK SR.SEC. SCHOOL,MOHAL,KULLU,175126,9th-+2(Arts/Sci/Comm) (C ),,2025-26,6239433450,aagmikschool@gmail.com
584,77,5229,19739,GROOMS PUBLIC SCHOOL,NAGGAR,KULLU,175130,9th-+2(Arts/Comm),,2025-26,"9418010360, 94182-81260",prarthiadv71@gmail.com
585,78,5127,19741,DEV BHUMI PUBLIC SCHOOL,JAGAT KHANA,KULLU,172001,9th-+2(Arts/Sci),,2025-26,7876415328/9817049630,devbhumiskul@gmail.com
586,79,5483,19742,NUCLEUS ACADEMY SENIOR SECONDARY SCHOOL,MOHAL,KULLU,175126,11th- 12th (Sci),,2025-26,9736411486,manish.nit45@gmail.com
587,80,5484,19743,"KULLU CONVENT SR. SEC.
SCHOOL",DHALPUR,KULLU,175101,"11th-12th(Arts/Sci/Comm)
(c )",,2025-26,9418280777,kassrsecschool@gmail.com
588,81,5485,19744,SKY SMART SCHOOL SIRKOTI,NIRMAND,KULLU,172023,9th-12th(Arts/Sci),,2025-26,98166-73835,skysmartschool0016@yahoo.com
589,82,2602,19745,TRINITY PUBLIC SCHOOL,BANJAR,KULLU,175123,9th-12(Sci/Comm) (c ),,2025-26,"01903-222006,94180-
25945,82193-50029",trinityschoolbanjar@rediffmail.com
590,83,5248,19746,ACADEMIC HILLS PUBLIC SCHOOL GADAURI ROAD,SHAMSHI,KULLU,175126,9th- 12th(Arts/Sci/Comm)(c ),,2025-26,9816701870,ahpsshamshi@gmail.com
591,1,2809,20702,SERKONG  SCHOOL,TABBO,L&S,172113,9th-10th,,2025-26,2019-20 to 2021-22,"01906-223431, 94590-38857"
592,1,3104,22002,"JIWAN JYOTI ADARSH
VIDYALAYA",KHUDLA,MANDI,175033,9th-10th,,2025-26,94183-87713,jjavk1993@gmail.com
593,2,3305,22003,"VIPASHA PUBLIC  HIGH
SCHOOL",SANDHOLE,MANDI,176090,9th-10th,,2025-26,"94182-50946, 94180-57712,
82195-22639",vipashaschoolsandhole@gmail.com
594,3,2843,22007,"SARSWATI VIDYA MANDIR
HIGH SCHOOL",BALAKRUPI,MANDI,176120,9th-10th (c ),,2025-26,", 94181-67779, 8219721335",svmbalakrupijnr@gmail.com
595,4,3168,22010,"SANATAN DHARAM VIDYA
MANDIR",MANDI,MANDI,175001,9th-10th,,2025-26,"01905-221575, 94189-22773",sdvm.mnd@gmail.com
596,5,3246,22011,"CAMBRIDGE NATIONAL
SCHOOL",PAUNTA,MANDI,175024,9th-10th (c ),,2025-26,"98829-69400,94182-61074",kumarnaresh7210@gmail.com
597,6,3304,22016,SARSWATI VIDYA MANDIR HIGH SCHOOL,SANDHOLE,MANDI,176090,9th-10th,,2025-26,"98052-72027, 01905-
274948,94186-14043, 98058-
01484",sandholesvm@gmail.com
598,7,3193,22017,"SPRING FIELD PUBLIC
SCHOOL",GOR NABAHI,MANDI,175024,9th-10th,,2025-26,"8679887718, 98173-54756",rakeshSFPS@gmail.com
599,8,3014,22024,SARSWATI VIDYA MANDIR,HARIPUR,MANDI,175018,9th-10th,,2025-26,", 94181-62411, 98166-60013
82193-56943",svmharipur@gmail.com
600,9,3200,22025,SARSWATI VIDYA MANDIR SCHOOL,NALSAR,MANDI,175027,9th-10th (c ),,2025-26,"94183-18741, 94184-18741","himachalshikshasamitishimla@g
mail.com"
601,10,3137,22029,"NAV JYOTI PUBLIC HIGH
SCHOOL","LAKHNOT
(MAKRERI)",MANDI,176120,9th-10th (c ),,2025-26,"94188-35452,94184-19742",shersingh.ss278@gmail.com
602,11,3371,22036,UJALA PUBLIC SCHOOL,TALYAHAR,MANDI,175001,9th-10th,,2025-26,"01905-221856,94590-54500,
94186-65961",upsmandi@gmail.com
603,12,2845,22045,"MODEL PUBLIC HIGH
SCHOOL",BALDWARA,MANDI,175033,9th-10th,,2025-26,"01905-258094, 98163-03675,
98575-29321",mphs22045@gmail.com
604,13,3321,22052,"SHEETLA PUBLIC HIGH
SCHOOL",SAYOHALI,MANDI,175008,9th-10th,,2025-26,"98172-12561, 01905-243157","sheetalpublicschoolsayohli@gmail.c
om"
605,14,2967,22054,"THE HATESHWARI PUBLIC
SCHOOL",DIARGI(HATGARH),MANDI,175027,9th-10th,,2025-26,"01905-313813, 94593-02443,
8278771200",ctara7964@gmail.com
606,15,3229,22057,"PANDAVA  PUBLIC HIGH
SCHOOL",PANDOH,MANDI,175124,9th-10th,,2025-26,"01905-282266, 98574-10813,
98163-21366",pandava266@gmail.com
607,16,3231,22058,"ADARSH PUBLIC HIGH
SCHOOL",PANDOH,MANDI,175124,9th-10th,,2025-26,"94181-06453, 01905-282003","principaladarshpublicschoolpandoh
@gmail.com"
608,17,2950,22061,SUN RISE PUBLIC SCHOOL,DHALWAN,MANDI,175004,9th-10th (C ),,2025-26,"94590-44911,70180-25407",spsdhalwan@gmail.com
609,18,3001,22064,"NAV JYOTI ADARSH  HIGH
SCHOOL",GOHAR,MANDI,175029,9th-10th,,2025-26,"94187-70612,82195-80210",navjyotigohar@gmail.com
610,19,3187,22065,SARSWATI VIDYA MANDIR,"MOHIN(GOPALPUR
)",MANDI,175007,9th-10th,,2025-26,94184-37145,svmmohingopalpur@gmail.com
611,20,2836,22067,"SARSWATI VIDYA MANDIR
HIGH SCHOOL",BAGSAID,MANDI,175035,9th-10th (c ),,2025-26,"86792-85930, 94182-43686",singhupender723@gmail.com
612,21,2986,22071,"OAKLAND PUBLIC SR.SEC.SCHOOLGANESH
CHOWK",GANAI,MANDI,175045,9th-10th,,2025-26,"82194-22902,  01907-251101,
98823-22135",oakland123ganai@gmail.com
613,22,3221,22074,PADHAR PUBLIC SCHOOL,PADHAR,MANDI,175012,9th-10th,,2025-26,"01908-260652,86791-16685",padharpublicschool@gmail.com
614,23,3361,22076,"SPRINGFIELD PUBLIC
SCHOOL",SUNDERNAGAR,MANDI,175002,9th-10th,,2025-26,"01907-266391, 98170-66484,
70187-31535",sharmarajesh814@gmail.com
615,24,3280,22080,SHEETLA PUBLIC SCHOOL,ROPA(S/NAGAR),MANDI,175002,9th-10th,,2025-26,98171-05539 82196-80482,hsrajput879@gmail.com
616,25,3143,22084,"THE MARTYR JAGDISH
CHAND MEMO.PUBLIC SCHOOL",LEDA,MANDI,175036,9th-10th (c ),,2025-26,"98054-49121, 01905-249328,
98056-57666",jitenderku661@gmail.com
617,26,2891,22086,"BIST.R.S. SARSWATI VIDYA
MANDIR",BHARARU,MANDI,175015,9th-10th (c ),,2025-26,"94186-41773,01908-228773",bisthrs.svmbhararu@gmail.com
618,27,3177,22087,"SARSWATI VIDYA MANDIR
HIGH SCHOOL",MARHI,MANDI,175050,9th-10th,,2025-26,"94184-37145, 94185-60415",svmmarhi123@gmail.com
619,28,3271,22088,"SARSWATI VIDYA MANDIR
HIGH SCHOOL",REWALSAR,MANDI,175023,9th-10th,,2025-26,86791-79104,svmrewalsar97@gmail.com
620,29,3029,22090,"MOTHER CHOICE PUBLIC
HIGH SCHOOL",JANJEHLI,MANDI,175047,9th-10th (C ),,2025-26,"01907-256441, 88949-33072,
85447-75512",mcphsjanjehli@gmail.com
621,30,3297,22091,NAV KIRAN MODEL SCHOOL,SAKROHA (GAGAL),MANDI,175006,9th-10th,,2025-26,", 98171-66261, 98171-66261,
86731-63487, 82199-95447",nkmsgagal@gmail.com
622,31,3301,22093,"ARUN SARSWATI VIDYA
MANDIR",SAMKHETAR,MANDI,175001,9th-10th (C ),,2025-26,98171-65105 82195-70634,kanchanmalhotra76@gmail.com
623,32,3211,22095,"HIM ANCHAL MODEL HIGH
SCHOOL",NERHOWK,MANDI,175008,9th-10th (c ),,2025-26,,
624,33,3190,22097,"SARSWATI VIDYA NIKETAN
HIGH SCHOOL",MOVISERI,MANDI,175029,9th-10th (c ),,2025-26,"94182-99707, 94595-29417",principalsvnmovi@gmail.com
625,34,2994,22098,"TUNGAL PUBLIC MODEL
SR.SEC.  SCHOOL",GHARWAN KOTLI,MANDI,175003,9th-10th (c ),,2025-26,"94183-71112, 82787-57615,
82199-10887",tpmsgharwan@gmail.com
626,35,3149,22102,SARSWATI VIDYA MANDIR,MAHADEV,MANDI,175018,9th-10th,,2025-26,"94189-29862, 82193-36061",svmmahadev@gmail.com
627,36,3098,22104,"SWAMI VIVEKANAND
MODEL SCHOOL",KHIURI (BAGGI),MANDI,175027,9th-10th (c ),,2025-26,"01905-311900,941590-53957,
70188-77020",ashusingh1286@gmail.com
628,37,3388,22105,SARSWATI VIDYA MANDIR,THUNAG,MANDI,175048,9th-10th (c ),,2025-26,"94186-53771, 01907-257552,
94590-46985",svmthunag@yahoo.com
629,38,3150,22108,"SHIVAJI PUBLIC HIGH
SCHOOL",MAHADEV,MANDI,175018,9th-10th,,2025-26,6230090491,shivajiphsmahadev@gmail.com
630,39,3015,22109,SUN SHINE PUBLIC SCHOOL,HARLOT,MANDI,175042,9th-10th,,2025-26,"98051-22755,82194-27550",vk13091977@gmail.com
631,40,2985,22110,"SARSWATI VIDYA MANDIR
GANESHHOWK",GANAI,MANDI,175045,9th-10th (c ),,2025-26,86792-85930,svmgchk225@gmail.com
632,41,2874,22111,"BASANT MEMORIAL PUBLIC
SCHOOL",BEHAL (PAIRI),MANDI,175008,9th-10th,,2025-26,"01905-261431, 98176-65308,
98177-25381",bmpsli79@gmail.com
633,42,3235,22114,SARSWATI VIDYA MANDIR,PANGNA,MANDI,175046,9th-10th,,2025-26,"88944-95380,96259-58377",svmpangna@gmail.com
634,43,3164,22116,MONAL PUBLIC SCHOOL,MANDI,MANDI,175001,9th-10th,,2025-26,98162-66926,monalpublicschool@yahoo.com
635,44,2934,22119,MUNISH MODEL SCHOOL,DABROT(MARHI),MANDI,175050,9th-10th,,2025-26,9418473932  7018493931,munishmodel015@gmail.com
636,45,3401,22121,"SHRI HARI HAR PUBLIC
SCHOOL",UPPER GHATTA,MANDI,175006,9th-10th,,2025-26,"94184-19953,98820-23866",shhps2018@gmail.com
637,46,3067,22123,R.K.M.PUBLIC SCHOOL,KAPAHI,MANDI,175002,9th-10th,,2025-26,"98160-16590, 98174-11000,
70181-57911",rkmkapahi@gmail.com
638,47,3119,22124,SARSWATI VIDYA MANDIR,KOTLI,MANDI,175003,9th-10th,,2025-26,"98177-77999, 98168-35200",svm.kotli1998@gmail.com
639,48,2922,22127,"DIVINE BUDS ORCHARD
PUBLIC SCHOOL",CHATTER,MANDI,175024,9th-10th,,2025-26,"98576-36002, 01905-203571",deepak.sk300@gmail.com
640,49,2954,22128,G.S.N  PUBLIC SCHOOL,DHANOTU,MANDI,175002,9th-10th (c ),,2025-26,"98163-41264, 70188-53382",gsnphsd@gmail.com
641,50,2957,22133,NEW BEAM PUBLIC SCHOOL,DHARAMPUR,MANDI,175040,9th-10th,,2025-26,94182-57057,newbeamschool@gmail.com
642,51,3391,22140,SARSWATI VIDYA MANDIR,LAGYAR(TIHRA),MANDI,175026,9th-10th,,2025-26,"98056-78773, 82196-34672",Ajaypathania28@gmail.com
643,52,2887,22141,SUN RISE PUBLIC SCHOOL,BHARARI,MANDI,175018,9th-10th (c ),,2025-26,"94595-27027, 01907-263983,
98571-20860",sunrisepsbharari@gmail.com
644,53,3290,22142,OJAS PUBLIC SCHOOL,SAIGLOO,MANDI,175052,9th-10th (c ),,2025-26,"7876637817, 70185-96253",ojaspublicschool@gmail.com
645,54,3197,22144,SARSWATI VIDYA MANDIR,NAGWAIN,MANDI,175121,9th-10th (c ),,2025-26,"01905-287197, 94591-08504,
98177-77099",ngwsarswati321@gmail.com
646,55,3072,22147,"KARSOG VALLEY  HIGH
SCHOOL",KARSOG,MANDI,175011,9th-10th,,2025-26,"94596--82471, 93180-71000",kvhskarsog@gmail.com
647,56,2959,22148,"DHARAMPUR PUBLIC
SCHOOL",DHARAMPUR,MANDI,175040,9th-10th,,2025-26,"01905-272916,94180-59058,
82194-32438",headmaster.dps01@gmail.com
648,57,2833,22149,HIM VALLEY PUBLIC SCHOOL,BAGLA,MANDI,175021,9th-10th,,2025-26,"01905-329597, 94181-00689",hvpsbagla@gmail.com
649,58,3005,22150,SHIV ADARSH HIGH SCHOOL,GOKHRA,MANDI,175052,9th-10th,,2025-26,"01905-267500, 80917-58900",rajenderverma44262@gmail.com
650,59,3020,22151,HIM VALLEY PUBLIC SCHOOL,HAWANI(MEGAL),MANDI,175049,9th-10th (c ),,2025-26,"01905-238413, 94182-84954,
82788-61095",ranabasant1976@gmail.com
651,60,3324,22152,SARSWATI VIDYA MANDIR,SERI BENGLOW,MANDI,175011,9th-10th,,2025-26,"98573-75168, 98050-28611",svmseribanglow@gmail.com
652,61,2932,22153,"MODEL PUBLIC HIGH
SCHOOL",CHURAG,MANDI,175010,9th-10th (C ),,2025-26,"98170-50704, 82199-14784",mpschurag2000@gmail.com
653,62,3264,22157,"THE PATIYAL PUBLIC
SCHOOL",RANDHARA,MANDI,175001,9th-10th,,2025-26,"98160-99516,94184-
11327,01905-261125",pspsrandhara143@gmail.com
654,63,2893,22163,NAV JYOTI PUBLIC SCHOOL,BHARARU,MANDI,175015,9th-10th,,2025-26,"70186-81633,94186-37956",navjyotibhararu@gmail.com
655,64,3310,22166,"DAYA NAND ADARSH
VIDALAYA",SARKAGHAT,MANDI,175024,9th-10th,11th-12th (Sci),2025-26,"94189-43386, 01905-230540",davsarkaghat@gmail.com
656,65,2865,22171,"KANISHKA MODEL PUBLIC
SCHOOL",BARYARA,MANDI,175052,9th-10th,,2025-26,"94189-25590, 70187-63188,
94189-36888",kanishkawww@gmail.com
657,66,2849,22173,SARSWATI VIDYA MANDIR,BALIHOWKI,MANDI,175106,9th-10th (c ),,2025-26,"94183-50958, 70189-15631",svmbalichowki@gmail.com
658,67,3298,22174,"NAURANG CONVENT
SCHOOL",SALAH,MANDI,175018,9th-10th,,2025-26,"01907-267507,94184-67079",naurangconventsnr@gmail.com
659,68,3023,22175,DRONA ASHRAM VIDYALYA,JACHH,MANDI,175039,9th-10th (c ),,2025-26,"94191-76198, 98574-08719",davjachh@gmail.com
660,69,3134,22176,BHARTI GIAN PEETH,LAD BHAROL,MANDI,175016,9th-10th (c ),11th-12th (Sci) (c ),2025-26,"98170-10077,",Jitensharma077@gmail.com
661,70,2961,22177,SARSWATI VIDYA MANDIR,DHARAMPUR,MANDI,175040,9th-10th,,2025-26,"9484-66169, 94186-67169,
98057-32529,",svmdharampur22177@yahoo.com
662,71,4624,22179,MODERN BLUE STAR PUBLIC SCHOOL,HALEL(KANAID),MANDI,175037,9th-10th (c ),,2025-26,"98171-69441,82193-71415,
98171-68158","modernbluestarpublicschool@g
mail.com"
663,72,4713,22180,SAINT VALLEY PUBLIC SCHOOL,KEHNWAL,MANDI,175001,9th-10th (c ),,2025-26,"94594-14724,89883-32719,
82199-72677",vinaykumar141966@gmail.com
664,73,4700,22183,"NAV JAGRITI PUBLIC
SCHOOL",LAG-BIR(TUNGAL),MANDI,175001,9th-10th,,2025-26,"70184-10980, 98176-65110",navjagritypubschool@gmail.com
665,74,4683,22184,"GURUKUL ACADEMY PUBLIC
SCHOOL",SANDHOLE,MANDI,176090,9th-10th,,2025-26,"98057-32732, 97360-71272",honeythakur@gmail.com
666,75,4755,22187,"MODEL PUBLIC HIGH
SCHOOL",CHHATRI,MANDI,175047,9th-10th,,2025-26,98055-34410,mphschhatri@gmail.com
667,76,2933,22189,DAY STAR PUBLIC SCHOOL,CHURAG,MANDI,175010,9th-10th (C ),,2025-26,"94597-63874, 98574-68569,
82196-30341",murarisharma874@gmail.com
668,77,4945,22190,"DAYANAND ADARSH
VIDYALYA",SANDHOLE,MANDI,176090,9th-10th,,2025-26,94181-68177,davsandhole07@gmail.com
669,78,4969,22193,"GYAN DHARA PUBLIC
SCHOOL",MARHI,MANDI,175050,9th-10th (c ),,2025-26,"94188-05170, 98058-05170",vinaybalyani@gmail.com
670,79,4757,22194,PINE GROVE SCHOOL,DODHWAN,MANDI,175002,9th-10th,,2025-26,"98051-32417, 94181-94531,
70181-32416, 70183-62125",pinegroveinternational@gmail.com
671,80,5110,22195,SHIVALIK PUBLIC SCHOOL,DHARANDA,MANDI,175036,9th-10th,,2025-26,"98176-99600,94185-79600",ssm.dharanda@gmail.com
672,81,5113,22198,SARSWATI VIDYA MANDIR,JAIDEVI,MANDI,175031,9th-10th,,2025-26,"98160-93137,98826-98995,
70188-72007",svmjaidevi@gmail.com
673,82,5115,22200,JAGRITI PUBLIC SCHOOL,KOTLI,MANDI,175003,9th-10th (c ),,2025-26,"01905-281038, 98574-94100",tilak.raj994@gmail.com
674,83,5116,22201,HOLY CHILD PUBLIC SCHOOL,BAGGI TUNGAL,MANDI,175052,9th-10th,,2025-26,"98171-67858,01905-260158",hcpsbaggi2008@gmail.com
675,84,5117,22203,"NOBLE INTERNATIONAL
SCHOOL",SEOG,MANDI,175124,9th-10th,,2025-26,"94599-87264,82193-
59144,94180-70869",noble.int.school@gmail.com
676,85,5118,22204,"HIMGIRI IMMORTAL PUBLIC
SCHOOL",BALIHOWKI,MANDI,175106,9th-10th,,2025-26,"88949-58223, 86290-77519,
82191-62908",himgiriimmortal@gmail.com
677,86,5231,22208,"DEEP JYOTI ADARSH PUBLIC
SCHOOL",KOON (DEVDHAR),MANDI,175029,9th-10th (C ),,2025-26,"98821-21698, 86793-02607",nitay698thakur@gmail.com
678,87,5233,22209,SHIKSHAVID SCHOOL,PADHAR,MANDI,175012,9th-10th,,2025-26,8628892516,shikshavidschool@gmail.com
679,88,5262,22210,SARASWATI VIDYA MANDIR,TATTAPANI,MANDI,175009,9th-10th (C ),,2025-26,94182-89869,svmtattapani@gmail.com
680,89,5263,22211,SAMIDHA PUBLIC SCHOOL,FATEHWAN,MANDI,175001,9th-10th,,2025-26,98570-01100,samidhasps@gmail.com
681,90,5264,22212,"GREEN VALLEY MODEL
PUBLIC SCHOOL",SIANJI,MANDI,175027,9th-10th (c ),,2025-26,78071-27941,bimladevi0541@gmail.com
682,91,5265,22213,"SERAJ MOUNTAIN GURUKUL PUBLIC HIGH
SCHOOL",JANJELI,MANDI,175047,9th-10th,,2025-26,"98050-59952, 90151-85465,
94590-51159",smgsjnj@gmail.com
683,92,5267,22215,"JAI MAHAVEER PUBLIC
SCHOOL",PLASI,MANDI,175034,9th-10th (c ),,2025-26,70187-42185 82193-38924,mahaveeredu18@gmail.com
684,93,5281,22216,LA MONTESSORI SCHOOL,BHANGROTU,MANDI,175021,9th-10th (c ),,2025-26,94180-22626,lmsnerchowk@lms.org.in
685,94,5486,22217,CAVEAT LECTOR SCHOOL,PANARSA,MANDI,175121,9TH-10TH (c ),,2025-26,97363-23605,caveat.lector2016@gmail.com
686,95,5505,22219,SHIVALIK PUBLIC  SCHOOL,BHARARI,MANDI,175025,9th - 10th (c ),,2025-26,6280698939,kehar245096@gmail.com
687,96,5507,22220,"SARASWATI VIDYA
MANDIR SCHOOL",CHHATRI,MANDI,175047,9th - 10th,,2025-26,7876122319,svmchhatri31908@gmail.com
688,97,5506,22221,HIM GIRI PUBLIC SCHOOL,PADHAR,MANDI,175012,9th - 10th (c ),,2025-26,8219507362,"himgiripublicschoolpadhar@gmail
.com"
689,98,3227,23005,"MARKANDAY PUBLIC
SR.SEC.SCHOOL",PANARASA,MANDI,175121,9th-+2(Arts),,2025-26,"98166-80688, 70180-09240",mpsspanarsa@gmail.com
690,99,3199,23007,"BHARTIYA PUBLIC SR.SEC.
SCHOOL",NALSAR,MANDI,175027,9th-+2(Arts/Sci),,2025-26,"94187-65595, 98160-55950",bhartiyaschoolnalsar@gmail.com
691,100,3063,23013,"SHIV ADARSH
SR.SEC.SCHOOL","KANSA CHOWK
(MANDI)",MANDI,175027,9th-+2(Arts/Sci) (C ),,2025-26,"01905-242939, 94184-19953,
70188-90617","shivadarshssskansa1995@gmail.co
m"
692,101,3382,23016,AMAR JYOTI SR.SEC.SCHOOL,THACHI,MANDI,175121,9th-+2(Arts),,2025-26,"96254-37338,89880-88129",grthakur888@gmail.com
693,102,3175,23019,DIVYA JYOTI SR.SEC.SCHOOL,MANDI,MANDI,175001,9th-+2(Arts/Sci/Comm) (C ),,2025-26,"01905-222755,  98170-44255",bsjoshi94@gmail.com
694,103,3174,23022,D.A.V.SR.SEC.SCHOOL,MANDI,MANDI,175001,9th-+2(Arts/Sci/Comm) (C ),,2025-26,"01905-223145, 98160-03145",davsss.mnd@gmail.com
695,104,3044,23024,"SHANTI NIKETAN PUBLIC
SR.SEC.SCHOOL",J/NAGAR,MANDI,175015,9th-+2(Arts/Sci/Comm),,2025-26,"01908-224190,94184-71812",shantiniketan23024@gmail.com
696,105,3359,23025,"SARSWATI  VIDYA MANDIR
PUB.SR.SEC.SCHOOL",NAULAKHA,MANDI,175019,9th-+2(Sci.),,2025-26,94180-35908,sarswatimandir09@gmail.com
697,106,3046,23026,"ASCENT PUBLIC
SR.SEC.SCHOOL(BRIDGE MANDI)",JOGINDER NAGAR,MANDI,175015,9th-+2(Arts/Sci/Comm) (C ),,2025-26,"01908-224012, 94184-57284",ascentjnr@gmail.com
698,107,3043,23027,"DAYANAND BHARTIYA
PUBLIC SR.SEC. SCHOOL",JOGINDER NAGAR,MANDI,175015,9th-+2(Sci),11th-12th(Comm),2025-26,"94180-38659, 94182-64001",bpsjnr@gmail.com
699,108,3274,23032,"UNITY PUBLIC
SR.SEC.SCHOOL",REWALSAR,MANDI,175023,9th-+2(Sci) (C ),,2025-26,"01905-240264, 94180-79501",upsssrewalsar@gmail.com
700,109,2936,23034,HILLOCK MODEL SCHOOL,DADAUR,MANDI,175027,9th-+2(Sc.),,2025-26,"98170-37684, 94180-43683",hmsdadour@gmail.com
701,110,3148,23037,HILL VIEW  SR.SEC.SCHOOL,LOWER BHAMBLA,MANDI,175004,9th-+2(Arts),,2025-26,"94180-93122, 98828-76355","principalhvsssbhambla@gmail.co
m"
702,111,3171,23038,"ARUNODAYA
SR.SEC.SCHOOL",MANDI,MANDI,175001,9th-+2(Sci/Comm) (C ),,2025-26,"01905-225671, 98161-94809",arunodayamandi@yahoo.com
703,112,3232,23039,"SARVODYA PUBLIC
SR.SEC.SCHOOL",UPPER PANDOH,MANDI,175124,9th-+2(Arts) (c ),,2025-26,"01905-282757,98572-03334",sarvodyapandoh060074@gmail.com
704,113,3170,23040,"ANGLO SANSKRIT MODEL
SR.SEC.SCHOOL",MANDI,MANDI,175001,9th-+2(Sci/Comm) (c ),NOC For CBSE,2025-26,"01905-236644, 98170-95257",angloschoolmandi@gmail.com
705,114,3125,23043,"SIDH BABA BALAK NATH
PUBLIC S.S.SCHOOL",KUMMI,MANDI,175006,9th-+2(Arts/Sci),,2025-26,"01905-241135,98820-10536,
78766-65702",sbbnskummi@gmail.com
706,115,3153,23044,"SARSWATI VIDYA MANDIR SR.SEC. SCHOOL MAHAJAN
BAZAR",MANDI,MANDI,175001,9th-+2(Sci/Comm) (C ),,2025-26,"01905-222048, 70182-
13491,97368-02201",svmmandihp@gmail.com
707,116,2953,23051,"KAVERI PUBLIC
SR.SEC.SCHOOL",DHANOTU,MANDI,175018,9th-+2(Arts/Sci) (C ),,2025-26,"01907-263340,94180-23640",gianmittal1976@gmail.com
